name,phi,theta,dcosx,dcosy,dcosz
LOGME,2.00076,1.9493,-0.387334,0.844641,-0.369532
LOGME,6.13828,0.973788,0.818353,-0.119421,0.562171
LOGME,6.25643,0.539614,0.513621,-0.0137461,0.857907
LOGME,0.689541,2.46426,0.483534,0.398705,-0.779249
LOGME,2.42738,0.77377,-0.528047,0.457754,0.715281
LOGME,2.84589,1.7325,-0.944119,0.287611,-0.160996
LOGME,1.61924,1.57536,-0.048429,0.998816,-0.00456579
LOGME,2.25087,2.53932,-0.356255,0.440479,-0.824051
LOGME,0.616716,2.81523,0.261536,0.18542,-0.947216
LOGME,4.47216,2.1641,-0.197265,-0.805286,-0.559107
LOGME,3.29769,2.11941,-0.842876,-0.132646,-0.521502
LOGME,5.99126,0.778553,0.672539,-0.202105,0.71193
LOGME,5.95172,1.68197,0.93973,-0.323417,-0.110942
LOGME,2.81936,2.93526,-0.194325,0.0648797,-0.978789
LOGME,4.04594,1.89248,-0.586487,-0.745702,-0.316166
LOGME,2.14387,0.907594,-0.427279,0.662129,0.615644
LOGME,4.05276,2.56102,-0.336137,-0.433436,-0.836149
LOGME,1.00343,1.64697,0.535857,0.840872,-0.0760992
LOGME,2.21462,2.69725,-0.258032,0.343811,-0.902892
LOGME,2.68663,2.56759,-0.487762,0.238611,-0.839734
LOGME,1.49225,2.90032,0.0187487,0.2382,-0.971035
LOGME,5.06251,1.22265,0.322432,-0.882977,0.341158
LOGME,5.04383,1.18178,0.301097,-0.874924,0.379275
LOGME,5.45189,2.04968,0.598108,-0.655696,-0.460793
LOGME,2.56158,2.11429,-0.71593,0.469068,-0.517127
LOGME,3.83513,2.51001,-0.45403,-0.377437,-0.807093
LOGME,5.70329,2.28531,0.631915,-0.41392,-0.655251
LOGME,3.51874,0.943825,-0.752894,-0.298229,0.586695
LOGME,2.03338,0.767878,-0.309977,0.621609,0.719386
LOGME,2.76557,0.19031,-0.175947,0.0694653,0.981946
LOGME,2.97367,0.524977,-0.494143,0.0837642,0.865336
LOGME,6.12991,0.146029,0.143804,-0.022216,0.989357
LOGME,2.02454,1.43291,-0.434172,0.890282,0.137453
LOGME,2.05868,1.22887,-0.441624,0.832192,0.335298
LOGME,4.56349,1.25153,-0.140856,-0.938961,0.313867
LOGME,5.68182,1.83144,0.796714,-0.546657,-0.257707
LOGME,6.1719,2.75415,0.375481,-0.0419578,-0.92588
LOGME,5.12024,0.476513,0.181931,-0.42106,0.8886
LOGME,1.0604,2.286,0.368814,0.658744,-0.655769
LOGME,5.60065,0.144099,0.11143,-0.0905784,0.989636
LOGME,2.18807,1.67314,-0.575786,0.811192,-0.102166
LOGME,2.84288,0.604495,-0.543179,0.167257,0.822789
LOGME,3.14689,0.791804,-0.711612,-0.00377213,0.702563
LOGME,2.76867,2.00409,-0.845207,0.330668,-0.419862
LOGME,1.92096,2.70774,-0.14421,0.394857,-0.907354
LOGME,5.80664,1.62174,0.88743,-0.458121,-0.0509218
LOGME,3.56058,0.318633,-0.286171,-0.127448,0.949665
LOGME,2.43664,2.76218,-0.282096,0.240006,-0.928881
LOGME,1.04157,1.36663,0.494376,0.845272,0.202751
LOGME,5.46394,1.56936,0.682771,-0.730631,0.00143698
LOGME,4.26348,0.210856,-0.0908309,-0.18856,0.977852
LOGME,6.17372,1.82362,0.962415,-0.10577,-0.25014
LOGME,0.391813,1.58444,0.924132,0.381829,-0.0136434
LOGME,5.2285,0.618811,0.286266,-0.504509,0.814569
LOGME,1.85286,1.85297,-0.267327,0.9225,-0.278443
LOGME,4.74108,0.425215,0.0118319,-0.412347,0.91095
LOGME,2.63509,3.12259,-0.0166116,0.00921569,-0.99982
LOGME,2.2503,3.13526,-0.00397634,0.00492216,-0.99998
LOGME,5.15102,2.30158,0.316258,-0.67416,-0.66745
LOGME,5.18215,2.99181,0.0675482,-0.133055,-0.988804
LOGME,1.56723,1.10778,0.00319091,0.894702,0.446651
